source_id,target_id,relationType,method
https://doi.org/10.1016/j.coldregions.2013.05.001,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.coldregions.2012.08.002,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.geomorph.2015.10.023,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
10.1002/ppp.1800,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.yqres.2010.12.003,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
10.1111/gcb.13124,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
10.1002/ppp.1843,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
10.1002/ppp.1779,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
doi:10.1088/1748-9326/8/3/035013,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
10.1007/s10021-011-9504-0,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
DOI: 10.2747/1548-1603.49.3.346,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.rse.2015.07.019,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
10.1002/ppp.1775,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
doi:10.5194/soil-1-147-2015,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
doi:10.1029/2010JG001588,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
10.1657/1523-0430(05-045)[PULLMAN]2.0.CO;2,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
doi: 10.1111/gcb.12500,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
10.1002/ppp.582,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
DOI: 10.1002/ppp.486,doi:10.18739/A2SP6G,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.yqres.2010.12.003,doi:10.18739/A2SP6G,isReferencedBy,abstract_search_1
https://doi.org/10.1002/ppp.1800,doi:10.18739/A2SP6G,isReferencedBy,abstract_search_1
DOI: 10.1002/ppp.709,doi:10.18739/A2SP6G,isReferencedBy,abstract_search_1
DOI: 10.1002/ppp.558,doi:10.18739/A2SP6G,isReferencedBy,abstract_search_1
https://doi.org/10.1002/2016JC012460,doi:10.18739/A2PV6B70J,isReferencedBy,abstract_search_1
doi:10.1002/2016GL071748,doi:10.18739/A29C6S16W,isReferencedBy,abstract_search_1
https://doi.org/10.1016/S0278-4343(97)00003-4,doi:10.5065/D6TD9VF3,isReferencedBy,abstract_search_1
https://doi.org/10.1017/jog.2018.60,doi:10.18739/A2MW60,isReferencedBy,abstract_search_1
https://doi.org/10.1038/nclimate2058,doi:10.18739/A28S5G,isReferencedBy,abstract_search_1
10.1139/e11-021,doi:10.18739/A2T646,isReferencedBy,abstract_search_1
https://doi.org/10.1111/gcb.14137,urn:uuid:ad5068e8-68c3-49f9-a3c4-42ec7e694ff8,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2019GL083436,doi:10.18739/A2930NV5G,isReferencedBy,abstract_search_1
https://doi.org/10.1017/qua.2018.39,doi:10.18739/A2696ZZ30,isReferencedBy,abstract_search_1
https://doi.org/10.3354/meps10057,doi:10.5065/D6KW5D2X,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2018JF004819,doi:10.18739/A2K35MD63,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.gca.2015.08.008,urn:uuid:95846301-bc1c-4a45-8e7a-57a75efc05d0,isReferencedBy,abstract_search_1
